"nama","harga","ranting","fasilitas"
"Kost Kencana Tipe B Cimanggis Depok","Rp2.190.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Wisma Almira Tipe Ekonomis Beji Depok","Rp760.000","","K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam"
"Kost Casa 36 Tipe B1 Beji Depok","Rp1.100.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Casa 36 Tipe B4 Beji Depok","Rp1.300.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Ameera Beji Depok","Rp850.000","","WiFi ·Kasur"
"Kost Rumah Sumaira Tugu Tipe B Cimanggis Depok","Rp1.350.000","","Maksimal 2 orang (sewa harian) ·Harga termasuk listrik (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Rumah Sadara Tipe A Cimanggis Depok","Rp1.050.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Rumah Sumaira Tugu Tipe A Cimanggis Depok","Rp1.050.000","4.4","Harga termasuk listrik (sewa harian) ·Maksimal 2 orang (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Va Tipe A1 Jagakarsa Jakarta Selatan","Rp700.000","","WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Omah Amalia Beji Depok","Rp1.400.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Sisesa House Tipe B Beji Depok","Rp1.350.000","","K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Ghefa Beji Depok","Rp700.000","4.6","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
